/TN0/D (Vbs=0) X,/TN0/D (Vbs=0) Y
0,1.253047994759455e-11
0.01,1.619959834841889e-11
0.02,2.094996707787952e-11
0.03,2.710188948809576e-11
0.04,3.507103899500989e-11
0.05,4.539698774806413e-11
0.06,5.878030543214003e-11
0.07000000000000001,7.613081226179032e-11
0.08,9.863035100140342e-11
0.09,1.278144602491425e-10
0.09999999999999999,1.656786557433143e-10
0.11,2.148167506089806e-10
0.12,2.786008884993734e-10
0.13,3.614158796707719e-10
0.14,4.6896421699267e-10
0.15,6.086630598107313e-10
0.16,7.901608302240707e-10
0.17,1.026009272343978e-09
0.18,1.332537381788222e-09
0.19,1.730987130052683e-09
0.2,2.248988105277964e-09
0.21,2.922469881671451e-09
0.2200000000000001,3.798137960692268e-09
0.2300000000000001,4.936672255056836e-09
0.2400000000000001,6.416846717328622e-09
0.2500000000000001,8.340814450878032e-09
0.2600000000000001,1.084085248585665e-08
0.2700000000000001,1.408790949429018e-08
0.2800000000000001,1.830233839265342e-08
0.2900000000000001,2.376720689258957e-08
0.3000000000000001,3.084453476509249e-08
0.3100000000000001,3.999466557608304e-08
0.3200000000000001,5.17986884280187e-08
0.3300000000000001,6.698332241108165e-08
0.3400000000000001,8.644692265177306e-08
0.3500000000000001,1.112842869462238e-07
0.3600000000000002,1.428068907216441e-07
0.3700000000000002,1.825543912416154e-07
0.3800000000000002,2.322932056067751e-07
0.3900000000000002,2.93999131585962e-07
0.4000000000000002,3.698234357588686e-07
0.4100000000000002,4.62045041928189e-07
0.4200000000000002,5.730143301596084e-07
0.4300000000000002,7.050954967602015e-07
0.4400000000000002,8.606139428711671e-07
0.4500000000000002,1.041813146434244e-06
0.4600000000000002,1.250822880434231e-06
0.4700000000000003,1.489638394690679e-06
0.4800000000000003,1.760108775833663e-06
0.4900000000000003,2.063932168916311e-06
0.5000000000000002,2.402655637997856e-06
0.5100000000000002,2.777677857861253e-06
0.5200000000000002,3.190253329701919e-06
0.5300000000000002,3.64149726616342e-06
0.5400000000000003,4.132390642856499e-06
0.5500000000000003,4.663785160201096e-06
0.5600000000000003,5.236408018341435e-06
0.5700000000000003,5.850866501671442e-06
0.5800000000000003,6.507652418655093e-06
0.5900000000000003,7.207146462977497e-06
0.6000000000000003,7.949622564837712e-06
0.6100000000000003,8.735252293888074e-06
0.6200000000000003,9.564109362754108e-06
0.6300000000000003,1.04361742652288e-05
0.6400000000000003,1.135133906796429e-05
0.6500000000000004,1.230941235988404e-05
0.6600000000000004,1.331012435027267e-05
0.6700000000000004,1.4353132094969e-05
0.6800000000000004,1.543802482051893e-05
0.6900000000000004,1.656432930868156e-05
0.7000000000000004,1.773151529837045e-05
