/TN0/D (Vbs=0) X,/TN0/D (Vbs=0) Y,/TN0/D (Vbs=0.1) X,/TN0/D (Vbs=0.1) Y,/TN0/D (Vbs=0.2) X,/TN0/D (Vbs=0.2) Y,/TN0/D (Vbs=0.3) X,/TN0/D (Vbs=0.3) Y,/TN0/D (Vbs=0.4) X,/TN0/D (Vbs=0.4) Y,/TN0/D (Vbs=0.5) X,/TN0/D (Vbs=0.5) Y
0,1.253047994759455e-11,0,2.444992280140095e-11,0,4.948086172785068e-11,0,1.044367122772525e-10,0,2.31535505798024e-10,0,5.442376830787621e-10
0.01,1.619959834841889e-11,0.01,3.150659737747828e-11,0.01,6.352226516388664e-11,0.01,1.334851564799624e-10,0.01,2.943990374658758e-10,0.01,6.876603422199297e-10
0.02,2.094996707787952e-11,0.02,4.061430573876078e-11,0.02,8.158063621140641e-11,0.02,1.706914141377668e-10,0.02,3.745325493539141e-10,0.02,8.694424311209073e-10
0.03,2.710188948809576e-11,0.03,5.237285576462069e-11,0.03,1.048134722131688e-10,0.03,2.183661420289255e-10,0.03,4.767292189500121e-10,0.03,1.09997070214343e-09
0.04,3.507103899500989e-11,0.04,6.755847923429284e-11,0.04,1.347140124307298e-10,0.04,2.794794562968817e-10,0.04,6.071241337078068e-10,0.04,1.392471737421756e-09
0.05,4.539698774806413e-11,0.05,8.717599540074175e-11,0.05,1.732091915111217e-10,0.05,3.578503476925209e-10,0.05,7.735724864073942e-10,0.05,1.76379299184358e-09
0.06,5.878030543214003e-11,0.06,1.125264688090719e-10,0.06,2.227863086765538e-10,0.06,4.583907543218594e-10,0.06,9.861347165231859e-10,0.06,2.235398464436907e-09
0.07000000000000001,7.613081226179032e-11,0.07000000000000001,1.452949800023491e-10,0.07000000000000001,2.866568567436812e-10,0.07000000000000001,5.874200855567565e-10,0.07000000000000001,1.257698743952662e-09,0.07000000000000001,2.834637092592282e-09
0.08,9.863035100140342e-11,0.08,1.876645073452096e-10,0.08,3.689684371448374e-10,0.08,7.530705298013155e-10,0.08,1.604777791760597e-09,0.08,3.59635693234947e-09
0.09,1.278144602491425e-10,0.09,2.424637080509807e-10,0.09,4.750788931622891e-10,0.09,9.658092957960024e-10,0.09,2.048532837918699e-09,0.09,4.564956478932426e-09
0.09999999999999999,1.656786557433143e-10,0.09999999999999999,3.133587091231882e-10,0.09999999999999999,6.11910929293756e-10,0.09999999999999999,1.239111369969761e-09,0.09999999999999999,2.616081963741646e-09,0.09999999999999999,5.796986463002427e-09
0.11,2.148167506089806e-10,0.11,4.05102028992577e-10,0.11,7.884108105859258e-10,0.11,1.590325834790657e-09,0.11,3.342175318065043e-09,0.11,7.364441257999592e-09
0.12,2.786008884993734e-10,0.12,5.238556480486631e-10,0.12,1.016141577477519e-09,0.12,2.041790778021694e-09,0.12,4.271334635213864e-09,0.12,9.358908280945539e-09
0.13,3.614158796707719e-10,0.13,6.776102845985765e-10,0.13,1.310049973942849e-09,0.13,2.622266898703898e-09,0.13,5.460580688615609e-09,0.13,1.189677516801528e-08
0.14,4.6896421699267e-10,0.14,8.767294324207921e-10,0.14,1.689457459446608e-09,0.14,3.368778704573726e-09,0.14,6.982900927134689e-09,0.14,1.512572518549549e-08
0.15,6.086630598107313e-10,0.15,1.134655077337152e-09,0.15,2.179339840496305e-09,0.15,4.328975314526642e-09,0.15,8.931642469934525e-09,0.15,1.923277589068263e-08
0.16,7.901608302240707e-10,0.16,1.468822725669855e-09,0.16,2.81197787738323e-09,0.16,5.564150823168558e-09,0.16,1.142605121594106e-08,0.16,2.445412526455263e-08
0.17,1.026009272343978e-09,0.17,1.901847040161625e-09,0.17,3.629083401270603e-09,0.17,7.153097103720833e-09,0.17,1.46182128217005e-08,0.17,3.108704884940481e-08
0.18,1.332537381788222e-09,0.18,2.463056679685368e-09,0.18,4.684532678135381e-09,0.18,9.196999245915248e-09,0.18,1.870167951175494e-08,0.18,3.950401963801909e-08
0.19,1.730987130052683e-09,0.19,3.190478641648944e-09,0.19,6.047871426687242e-09,0.19,1.182562361156346e-08,0.19,2.392207737868745e-08,0.19,5.016907157537917e-08
0.2,2.248988105277964e-09,0.2,4.133399279824866e-09,0.2,7.808793954140532e-09,0.2,1.520508645645741e-08,0.2,3.058996489813162e-08,0.2,6.365616570329768e-08
0.21,2.922469881671451e-09,0.21,5.355661845592314e-09,0.21,1.00828411658771e-08,0.21,1.954751912311242e-08,0.21,3.909612969409963e-08,0.21,8.066891848115e-08
0.2200000000000001,3.798137960692268e-09,0.2200000000000001,6.939899096915562e-09,0.2200000000000001,1.301860563239461e-08,0.2200000000000001,2.51229501170521e-08,0.2200000000000001,4.992933380262496e-08,0.2200000000000001,1.020605111422283e-07
0.2300000000000001,4.936672255056836e-09,0.2300000000000001,8.992943559185196e-09,0.2300000000000001,1.680677006379332e-08,0.2300000000000001,3.227368313523191e-08,0.2300000000000001,6.369620997177641e-08,0.2300000000000001,1.288519643761238e-07
0.2400000000000001,6.416846717328622e-09,0.2400000000000001,1.165270501912824e-08,0.2400000000000001,2.169132683174764e-08,0.2400000000000001,4.143133183086699e-08,0.2400000000000001,8.114254198254877e-08,0.2400000000000001,1.622463614860695e-07
0.2500000000000001,8.340814450878032e-09,0.2500000000000001,1.509684940689497e-08,0.2500000000000001,2.79833113135833e-08,0.2500000000000001,5.313643624000127e-08,0.2500000000000001,1.031745295195501e-07,0.2500000000000001,2.036362521849846e-07
0.2600000000000001,1.084085248585665e-08,0.2600000000000001,1.955364509114615e-08,0.2600000000000001,3.607730139651633e-08,0.2600000000000001,6.80601891933313e-08,0.2600000000000001,1.308779062510496e-07,0.2600000000000001,2.546016318090062e-07
